time="2025-12-26 16:00:30" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-26 16:10:47" level=info msg="| 200 |    1.407583ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:10:49" level=info msg="| 200 |  6.013889834s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:10:51" level=info msg="| 200 |  3.619414375s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:10:55" level=info msg="| 200 |     3.65925ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:10:59" level=info msg="| 200 |    1.403125ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:11:00" level=info msg="| 200 |  4.246539666s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:11:03" level=info msg="| 200 |  3.651073333s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:11:07" level=info msg="| 200 |      3.1075ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:11:11" level=info msg="| 200 |       1.505ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:11:13" level=info msg="| 200 |  5.793018375s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:11:17" level=info msg="| 200 |  5.733839125s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:11:17" level=info msg="| 200 |      1.8635ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:11:21" level=info msg="| 200 |    4.430125ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:11:25" level=info msg="| 200 |  3.736830416s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:11:25" level=info msg="| 200 |    1.785083ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:11:29" level=info msg="| 200 |  3.601005042s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:11:33" level=info msg="| 200 |      2.4835ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:11:37" level=info msg="| 200 |    1.711167ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:11:38" level=info msg="| 200 |  4.772597875s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:11:42" level=info msg="| 200 |  4.391466125s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:11:45" level=info msg="| 200 |    1.873458ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:11:49" level=info msg="| 200 |    1.744541ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:11:53" level=info msg="| 200 |    3.006042ms |             ::1 | GET | /livechat?user_id=agent |"
